"STATISTIC","Statistic Label","TLIST(D1)","Day","C04236V05009","Supply Type","UNIT","VALUE"
"NGSD01C01","Networked Gas Daily Supply","2018M02D10","2018 February 10","20","Networked gas supply - imports","Gigawatt hours","24.788687"
"NGSD01C01","Networked Gas Daily Supply","2018M02D11","2018 February 11","-","All networked gas supply","Gigawatt hours","162.521598"
"NGSD01C01","Networked Gas Daily Supply","2018M02D11","2018 February 11","10","Networked gas supply - indigenous production","Gigawatt hours","111.499263"
"NGSD01C01","Networked Gas Daily Supply","2018M02D11","2018 February 11","20","Networked gas supply - imports","Gigawatt hours","51.022335"
"NGSD01C01","Networked Gas Daily Supply","2018M02D12","2018 February 12","-","All networked gas supply","Gigawatt hours","160.670332"
"NGSD01C01","Networked Gas Daily Supply","2018M02D12","2018 February 12","10","Networked gas supply - indigenous production","Gigawatt hours","111.107993"
"NGSD01C01","Networked Gas Daily Supply","2018M02D12","2018 February 12","20","Networked gas supply - imports","Gigawatt hours","49.562339"
"NGSD01C01","Networked Gas Daily Supply","2018M02D13","2018 February 13","-","All networked gas supply","Gigawatt hours","164.526511"
"NGSD01C01","Networked Gas Daily Supply","2018M02D13","2018 February 13","10","Networked gas supply - indigenous production","Gigawatt hours","111.295015"
"NGSD01C01","Networked Gas Daily Supply","2018M02D13","2018 February 13","20","Networked gas supply - imports","Gigawatt hours","53.231496"
"NGSD01C01","Networked Gas Daily Supply","2018M02D14","2018 February 14","-","All networked gas supply","Gigawatt hours","136.806419"
"NGSD01C01","Networked Gas Daily Supply","2018M02D14","2018 February 14","10","Networked gas supply - indigenous production","Gigawatt hours","111.135958"
"NGSD01C01","Networked Gas Daily Supply","2018M02D14","2018 February 14","20","Networked gas supply - imports","Gigawatt hours","25.670461"
"NGSD01C01","Networked Gas Daily Supply","2018M02D15","2018 February 15","-","All networked gas supply","Gigawatt hours","159.196684"
"NGSD01C01","Networked Gas Daily Supply","2018M02D15","2018 February 15","10","Networked gas supply - indigenous production","Gigawatt hours","105.578207"
"NGSD01C01","Networked Gas Daily Supply","2018M02D15","2018 February 15","20","Networked gas supply - imports","Gigawatt hours","53.618477"
"NGSD01C01","Networked Gas Daily Supply","2018M02D16","2018 February 16","-","All networked gas supply","Gigawatt hours","173.347721"
"NGSD01C01","Networked Gas Daily Supply","2018M02D16","2018 February 16","10","Networked gas supply - indigenous production","Gigawatt hours","109.846347"
"NGSD01C01","Networked Gas Daily Supply","2018M02D16","2018 February 16","20","Networked gas supply - imports","Gigawatt hours","63.501374"
"NGSD01C01","Networked Gas Daily Supply","2018M02D17","2018 February 17","-","All networked gas supply","Gigawatt hours","177.353241"
"NGSD01C01","Networked Gas Daily Supply","2018M02D17","2018 February 17","10","Networked gas supply - indigenous production","Gigawatt hours","110.649276"
"NGSD01C01","Networked Gas Daily Supply","2018M02D17","2018 February 17","20","Networked gas supply - imports","Gigawatt hours","66.703965"
"NGSD01C01","Networked Gas Daily Supply","2018M02D18","2018 February 18","-","All networked gas supply","Gigawatt hours","162.593228"
"NGSD01C01","Networked Gas Daily Supply","2018M02D18","2018 February 18","10","Networked gas supply - indigenous production","Gigawatt hours","110.441693"
"NGSD01C01","Networked Gas Daily Supply","2018M02D18","2018 February 18","20","Networked gas supply - imports","Gigawatt hours","52.151535"
"NGSD01C01","Networked Gas Daily Supply","2018M02D19","2018 February 19","-","All networked gas supply","Gigawatt hours","172.108516"
"NGSD01C01","Networked Gas Daily Supply","2018M02D19","2018 February 19","10","Networked gas supply - indigenous production","Gigawatt hours","110.475036"
"NGSD01C01","Networked Gas Daily Supply","2018M02D19","2018 February 19","20","Networked gas supply - imports","Gigawatt hours","61.63348"
"NGSD01C01","Networked Gas Daily Supply","2018M02D20","2018 February 20","-","All networked gas supply","Gigawatt hours","177.900074"
"NGSD01C01","Networked Gas Daily Supply","2018M02D20","2018 February 20","10","Networked gas supply - indigenous production","Gigawatt hours","110.186536"
"NGSD01C01","Networked Gas Daily Supply","2018M02D20","2018 February 20","20","Networked gas supply - imports","Gigawatt hours","67.713538"
"NGSD01C01","Networked Gas Daily Supply","2018M02D21","2018 February 21","-","All networked gas supply","Gigawatt hours","175.938166"
"NGSD01C01","Networked Gas Daily Supply","2018M02D21","2018 February 21","10","Networked gas supply - indigenous production","Gigawatt hours","105.639234"
"NGSD01C01","Networked Gas Daily Supply","2018M02D21","2018 February 21","20","Networked gas supply - imports","Gigawatt hours","70.298932"
"NGSD01C01","Networked Gas Daily Supply","2018M02D22","2018 February 22","-","All networked gas supply","Gigawatt hours","160.379803"
"NGSD01C01","Networked Gas Daily Supply","2018M02D22","2018 February 22","10","Networked gas supply - indigenous production","Gigawatt hours","110.04477"
"NGSD01C01","Networked Gas Daily Supply","2018M02D22","2018 February 22","20","Networked gas supply - imports","Gigawatt hours","50.335033"
"NGSD01C01","Networked Gas Daily Supply","2018M02D23","2018 February 23","-","All networked gas supply","Gigawatt hours","143.510502"
"NGSD01C01","Networked Gas Daily Supply","2018M02D23","2018 February 23","10","Networked gas supply - indigenous production","Gigawatt hours","110.002762"
"NGSD01C01","Networked Gas Daily Supply","2018M02D23","2018 February 23","20","Networked gas supply - imports","Gigawatt hours","33.50774"
"NGSD01C01","Networked Gas Daily Supply","2018M02D24","2018 February 24","-","All networked gas supply","Gigawatt hours","151.464114"
"NGSD01C01","Networked Gas Daily Supply","2018M02D24","2018 February 24","10","Networked gas supply - indigenous production","Gigawatt hours","109.555786"
"NGSD01C01","Networked Gas Daily Supply","2018M02D24","2018 February 24","20","Networked gas supply - imports","Gigawatt hours","41.908328"
"NGSD01C01","Networked Gas Daily Supply","2018M02D25","2018 February 25","-","All networked gas supply","Gigawatt hours","136.218624"
"NGSD01C01","Networked Gas Daily Supply","2018M02D25","2018 February 25","10","Networked gas supply - indigenous production","Gigawatt hours","109.124133"
"NGSD01C01","Networked Gas Daily Supply","2018M02D25","2018 February 25","20","Networked gas supply - imports","Gigawatt hours","27.094491"
"NGSD01C01","Networked Gas Daily Supply","2018M02D26","2018 February 26","-","All networked gas supply","Gigawatt hours","182.115937"
"NGSD01C01","Networked Gas Daily Supply","2018M02D26","2018 February 26","10","Networked gas supply - indigenous production","Gigawatt hours","109.015383"
"NGSD01C01","Networked Gas Daily Supply","2018M02D26","2018 February 26","20","Networked gas supply - imports","Gigawatt hours","73.100554"
"NGSD01C01","Networked Gas Daily Supply","2018M02D27","2018 February 27","-","All networked gas supply","Gigawatt hours","188.404006"
"NGSD01C01","Networked Gas Daily Supply","2018M02D27","2018 February 27","10","Networked gas supply - indigenous production","Gigawatt hours","105.886044"
"NGSD01C01","Networked Gas Daily Supply","2018M02D27","2018 February 27","20","Networked gas supply - imports","Gigawatt hours","82.517962"
"NGSD01C01","Networked Gas Daily Supply","2018M02D28","2018 February 28","-","All networked gas supply","Gigawatt hours","188.533511"
"NGSD01C01","Networked Gas Daily Supply","2018M02D28","2018 February 28","10","Networked gas supply - indigenous production","Gigawatt hours","108.726378"
"NGSD01C01","Networked Gas Daily Supply","2018M02D28","2018 February 28","20","Networked gas supply - imports","Gigawatt hours","79.807133"
"NGSD01C01","Networked Gas Daily Supply","2018M03D01","2018 March 01","-","All networked gas supply","Gigawatt hours","175.530048"
"NGSD01C01","Networked Gas Daily Supply","2018M03D01","2018 March 01","10","Networked gas supply - indigenous production","Gigawatt hours","108.458293"
"NGSD01C01","Networked Gas Daily Supply","2018M03D01","2018 March 01","20","Networked gas supply - imports","Gigawatt hours","67.071755"
"NGSD01C01","Networked Gas Daily Supply","2018M03D02","2018 March 02","-","All networked gas supply","Gigawatt hours","165.427592"
"NGSD01C01","Networked Gas Daily Supply","2018M03D02","2018 March 02","10","Networked gas supply - indigenous production","Gigawatt hours","108.485461"
"NGSD01C01","Networked Gas Daily Supply","2018M03D02","2018 March 02","20","Networked gas supply - imports","Gigawatt hours","56.942131"
"NGSD01C01","Networked Gas Daily Supply","2018M03D03","2018 March 03","-","All networked gas supply","Gigawatt hours","160.281191"
"NGSD01C01","Networked Gas Daily Supply","2018M03D03","2018 March 03","10","Networked gas supply - indigenous production","Gigawatt hours","108.522592"
"NGSD01C01","Networked Gas Daily Supply","2018M03D03","2018 March 03","20","Networked gas supply - imports","Gigawatt hours","51.758599"
"NGSD01C01","Networked Gas Daily Supply","2018M03D04","2018 March 04","-","All networked gas supply","Gigawatt hours","184.489289"
"NGSD01C01","Networked Gas Daily Supply","2018M03D04","2018 March 04","10","Networked gas supply - indigenous production","Gigawatt hours","108.433144"
"NGSD01C01","Networked Gas Daily Supply","2018M03D04","2018 March 04","20","Networked gas supply - imports","Gigawatt hours","76.056145"
"NGSD01C01","Networked Gas Daily Supply","2018M03D05","2018 March 05","-","All networked gas supply","Gigawatt hours","215.756836"
"NGSD01C01","Networked Gas Daily Supply","2018M03D05","2018 March 05","10","Networked gas supply - indigenous production","Gigawatt hours","108.323336"
"NGSD01C01","Networked Gas Daily Supply","2018M03D05","2018 March 05","20","Networked gas supply - imports","Gigawatt hours","107.4335"
"NGSD01C01","Networked Gas Daily Supply","2018M03D06","2018 March 06","-","All networked gas supply","Gigawatt hours","200.530058"
"NGSD01C01","Networked Gas Daily Supply","2018M03D06","2018 March 06","10","Networked gas supply - indigenous production","Gigawatt hours","104.986591"
"NGSD01C01","Networked Gas Daily Supply","2018M03D06","2018 March 06","20","Networked gas supply - imports","Gigawatt hours","95.543467"
"NGSD01C01","Networked Gas Daily Supply","2018M03D07","2018 March 07","-","All networked gas supply","Gigawatt hours","182.709621"
"NGSD01C01","Networked Gas Daily Supply","2018M03D07","2018 March 07","10","Networked gas supply - indigenous production","Gigawatt hours","107.887531"
"NGSD01C01","Networked Gas Daily Supply","2018M03D07","2018 March 07","20","Networked gas supply - imports","Gigawatt hours","74.82209"
"NGSD01C01","Networked Gas Daily Supply","2018M03D08","2018 March 08","-","All networked gas supply","Gigawatt hours","194.764108"
"NGSD01C01","Networked Gas Daily Supply","2018M03D08","2018 March 08","10","Networked gas supply - indigenous production","Gigawatt hours","109.405269"
"NGSD01C01","Networked Gas Daily Supply","2018M03D08","2018 March 08","20","Networked gas supply - imports","Gigawatt hours","85.358839"
"NGSD01C01","Networked Gas Daily Supply","2018M03D09","2018 March 09","-","All networked gas supply","Gigawatt hours","178.016418"
"NGSD01C01","Networked Gas Daily Supply","2018M03D09","2018 March 09","10","Networked gas supply - indigenous production","Gigawatt hours","105.039425"
"NGSD01C01","Networked Gas Daily Supply","2018M03D09","2018 March 09","20","Networked gas supply - imports","Gigawatt hours","72.976993"
"NGSD01C01","Networked Gas Daily Supply","2018M03D10","2018 March 10","-","All networked gas supply","Gigawatt hours","145.10678"
"NGSD01C01","Networked Gas Daily Supply","2018M03D10","2018 March 10","10","Networked gas supply - indigenous production","Gigawatt hours","107.427769"
"NGSD01C01","Networked Gas Daily Supply","2018M03D10","2018 March 10","20","Networked gas supply - imports","Gigawatt hours","37.679011"
"NGSD01C01","Networked Gas Daily Supply","2018M03D11","2018 March 11","-","All networked gas supply","Gigawatt hours","161.89199"
"NGSD01C01","Networked Gas Daily Supply","2018M03D11","2018 March 11","10","Networked gas supply - indigenous production","Gigawatt hours","108.917808"
"NGSD01C01","Networked Gas Daily Supply","2018M03D11","2018 March 11","20","Networked gas supply - imports","Gigawatt hours","52.974182"
"NGSD01C01","Networked Gas Daily Supply","2018M03D12","2018 March 12","-","All networked gas supply","Gigawatt hours","182.784806"
"NGSD01C01","Networked Gas Daily Supply","2018M03D12","2018 March 12","10","Networked gas supply - indigenous production","Gigawatt hours","81.823201"
"NGSD01C01","Networked Gas Daily Supply","2018M03D12","2018 March 12","20","Networked gas supply - imports","Gigawatt hours","100.961605"
"NGSD01C01","Networked Gas Daily Supply","2018M03D13","2018 March 13","-","All networked gas supply","Gigawatt hours","148.91999"
"NGSD01C01","Networked Gas Daily Supply","2018M03D13","2018 March 13","10","Networked gas supply - indigenous production","Gigawatt hours","108.873377"
