"STATISTIC","Statistic Label","TLIST(D1)","Day","C04132V04898","Network Gas Customer Type","UNIT","VALUE"
"NGSD02C01","Networked Gas Daily Demand","2018M02D02","2018 February 02","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","64.341162"
"NGSD02C01","Networked Gas Daily Demand","2018M02D02","2018 February 02","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","10.686834"
"NGSD02C01","Networked Gas Daily Demand","2018M02D02","2018 February 02","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.987566"
"NGSD02C01","Networked Gas Daily Demand","2018M02D02","2018 February 02","10","Power Plants","Gigawatt hours","95.029167"
"NGSD02C01","Networked Gas Daily Demand","2018M02D02","2018 February 02","-","All networked gas customers","Gigawatt hours","185.044729"
"NGSD02C01","Networked Gas Daily Demand","2018M02D03","2018 February 03","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","60.372088"
"NGSD02C01","Networked Gas Daily Demand","2018M02D03","2018 February 03","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","8.756533"
"NGSD02C01","Networked Gas Daily Demand","2018M02D03","2018 February 03","40","Large Daily Metered (annual metered capacity >= 57.5 GWh)","Gigawatt hours","14.462964"
"NGSD02C01","Networked Gas Daily Demand","2018M02D03","2018 February 03","10","Power Plants","Gigawatt hours","69.517222"
"NGSD02C01","Networked Gas Daily Demand","2018M02D03","2018 February 03","-","All networked gas customers","Gigawatt hours","153.108807"
"NGSD02C01","Networked Gas Daily Demand","2018M02D04","2018 February 04","20","Non-Daily Metered (annual consumption < 5.55 GWh)","Gigawatt hours","57.793679"
"NGSD02C01","Networked Gas Daily Demand","2018M02D04","2018 February 04","30","Daily Metered (annual consumption >= 5.55 GWh and < 57.5 GWh)","Gigawatt hours","8.227316"
